Operation,Word,Frequency,Time Taken
Search,abandon,0,2.1499999999993746e-05
Add,abandon,1000,6.8000000000012495e-06
Search,abandoning,0,3.099999999991998e-06
Autocomplete,ab,N/A,8.599999999997499e-06
Add,abandoning,1000000,4.400000000001625e-06
Search,abandoning,1000000,6.100000000008876e-06
Autocomplete,ab,N/A,6.499999999992623e-06
Delete,abroad,N/A,2.099999999990998e-06
Search,abroad,0,1.8999999999991246e-06
Autocomplete,ab,N/A,4.199999999995874e-06
Add,abroad,331441,3.5000000000035003e-06
Autocomplete,ab,N/A,8.400000000005625e-06
Autocomplete,distill,N/A,6.099999999994998e-06
Search,distilling,0,2.000000000002e-06
Add,distilling,1000,3.2000000000087514e-06
Autocomplete,distilling,N/A,3.4000000000006247e-06
Delete,distilling,N/A,2.9000000000001247e-06
Delete,distilling,N/A,1.8999999999991246e-06
Autocomplete,distill,N/A,2.7000000000082514e-06
Add,distribution,100000,3.2000000000087514e-06
Delete,distraction,N/A,5.199999999996874e-06
Autocomplete,dist,N/A,3.6999999999953737e-06
